Input,Output,interp_linear,interp_cubic
0,104,104,104
1,102,102,102
2,100,100,100
3,99,99,99
4,97,97,97
5,95,95,95
6,93,93,93
7,92,92,92
8,90,90,90
9,88,88,88
10,86,86,86
11,85,85,85
12,83,83,83
13,81,81,81
14,80,80,80
15,78,78,78
16,77,77,77
17,76,76,76
18,75,75,75
19,74,74,74
20,74,74,74
21,74,74,74
22,74,74,74
23,75,75,75
24,76,76,76
25,77,77,77
26,78,78,78
27,80,80,80
28,82,82,82
29,84,84,84
30,86,86,86
31,88,88,88
32,90,90,90
33,91,91,91
34,93,93,93
35,95,95,95
36,96,96,96
37,98,98,98
38,99,99,99
39,100,100,100
40,101,101,101
41,102,102,102
42,103,103,103
43,104,104,104
44,104,104,104
45,105,105,105
46,105,105,105
47,105,105,105
48,106,106,106
49,106,106,106
50,106,106,106
51,106,106,106
52,106,106,106
53,106,106,106
54,106,106,106
55,106,106,106
56,106,106,106
57,106,106,106
58,106,106,106
59,106,106,106
60,106,106,106
61,106,106,106
62,106,106,106
63,106,106,106
64,106,106,106
65,106,106,106
66,106,106,106
67,107,107,107
68,107,107,107
69,107,107,107
70,107,107,107
71,107,107,107
72,107,107,107
73,107,107,107
74,107,107,107
75,107,107,107
76,107,107,107
77,107,107,107
78,107,107,107
79,107,107,107
80,107,107,107
81,107,107,107
82,107,107,107
83,107,107,107
84,108,108,108
85,108,108,108
86,108,108,108
87,108,108,108
88,108,108,108
89,108,108,108
90,108,108,108
91,109,109,109
92,109,109,109
93,109,109,109
94,109,109,109
95,109,109,109
96,109,109,109
97,110,110,110
98,110,110,110
99,110,110,110
100,110,110,110
101,110,110,110
102,111,111,111
103,111,111,111
104,111,111,111
105,111,111,111
106,112,112,112
107,112,112,112
108,112,112,112
109,112,112,112
110,112,112,112
111,113,113,113
112,113,113,113
113,113,113,113
114,113,113,113
115,113,113,113
116,113,113,113
117,114,114,114
118,114,114,114
119,114,114,114
120,114,114,114
121,114,114,114
122,115,115,115
123,115,115,115
124,115,115,115
125,115,115,115
126,115,115,115
127,115,115,115
128,116,116,116
129,116,116,116
130,116,116,116
131,116,116,116
132,116,116,116
133,116,116,116
134,117,117,117
135,117,117,117
136,117,117,117
137,117,117,117
138,118,118,118
139,118,118,118
140,118,118,118
141,118,118,118
142,119,119,119
143,119,119,119
144,119,119,119
145,119,119,119
146,120,120,120
147,120,120,120
148,120,120,120
149,121,121,121
150,121,121,121
151,121,121,121
152,122,122,122
153,122,122,122
154,122,122,122
155,123,123,123
156,123,123,123
157,123,123,123
158,124,124,124
159,124,124,124
160,125,125,125
161,126,126,126
162,126,126,126
163,127,127,127
164,128,128,128
165,129,129,129
166,130,130,130
167,131,131,131
168,132,132,132
169,134,134,134
170,135,135,135
171,137,137,137
172,139,139,139
173,141,141,141
174,143,143,143
175,145,145,145
176,147,147,147
177,149,149,149
178,152,152,152
179,154,154,154
180,157,157,157
181,159,159,159
182,162,162,162
183,164,164,164
184,167,167,167
185,169,169,169
186,172,172,172
187,174,174,174
188,176,176,176
189,178,178,178
190,180,180,180
191,182,182,182
192,184,184,184
193,185,185,185
194,187,187,187
195,188,188,188
196,189,189,189
197,191,191,191
198,192,192,192
199,193,193,193
200,194,194,194
201,195,195,195
202,196,196,196
203,197,197,197
204,198,198,198
205,199,199,199
206,199,199,199
207,200,200,200
208,201,201,201
209,202,202,202
210,203,203,203
211,204,204,204
212,205,205,205
213,206,206,206
214,207,207,207
215,208,208,208
216,209,209,209
217,210,210,210
218,212,212,212
219,213,213,213
220,214,214,214
221,216,216,216
222,217,217,217
223,219,219,219
224,220,220,220
225,222,222,222
226,223,223,223
227,225,225,225
228,226,226,226
229,228,228,228
230,229,229,229
231,231,231,231
232,232,232,232
233,234,234,234
234,235,235,235
235,237,237,237
236,238,238,238
237,239,239,239
238,240,240,240
239,241,241,241
240,243,243,243
241,244,244,244
242,244,244,244
243,245,245,245
244,246,246,246
245,247,247,247
246,248,248,248
247,248,248,248
248,249,249,249
249,249,249,249
250,250,250,250
251,250,250,250
252,251,251,251
253,251,251,251
254,252,252,252
255,252,252,252
