Input,Output
0,0
1,0
2,1
3,2
4,2
5,3
6,4
7,5
8,6
9,7
10,8
11,9
12,10
13,11
14,13
15,14
16,16
17,17
18,19
19,20
20,22
21,23
22,25
23,26
24,27
25,29
26,30
27,31
28,32
29,33
30,34
31,35
32,36
33,37
34,37
35,38
36,39
37,39
38,40
39,40
40,41
41,41
42,42
43,42
44,43
45,43
46,44
47,44
48,44
49,45
50,45
51,46
52,46
53,47
54,47
55,48
56,48
57,49
58,50
59,50
60,51
61,52
62,52
63,53
64,54
65,55
66,56
67,57
68,58
69,59
70,60
71,62
72,63
73,64
74,65
75,66
76,68
77,69
78,70
79,72
80,73
81,74
82,76
83,77
84,78
85,79
86,81
87,82
88,83
89,84
90,86
91,87
92,88
93,89
94,90
95,91
96,92
97,93
98,94
99,95
100,96
101,97
102,98
103,99
104,100
105,101
106,102
107,103
108,104
109,105
110,106
111,107
112,108
113,110
114,111
115,112
116,114
117,115
118,117
119,118
120,120
121,122
122,123
123,125
124,127
125,129
126,130
127,132
128,134
129,136
130,138
131,140
132,143
133,145
134,147
135,150
136,152
137,154
138,157
139,160
140,162
141,165
142,168
143,170
144,173
145,175
146,178
147,181
148,183
149,185
150,188
151,190
152,192
153,194
154,196
155,198
156,200
157,202
158,204
159,205
160,207
161,209
162,210
163,211
164,213
165,214
166,215
167,216
168,217
169,218
170,219
171,220
172,220
173,221
174,222
175,222
176,223
177,223
178,224
179,224
180,225
181,225
182,225
183,226
184,226
185,226
186,227
187,227
188,227
189,227
190,228
191,228
192,228
193,228
194,229
195,229
196,229
197,229
198,230
199,230
200,230
201,230
202,231
203,231
204,232
205,232
206,232
207,233
208,233
209,234
210,234
211,235
212,235
213,236
214,236
215,237
216,238
217,238
218,239
219,240
220,240
221,241
222,242
223,242
224,243
225,244
226,244
227,245
228,246
229,246
230,247
231,247
232,248
233,248
234,249
235,249
236,250
237,250
238,251
239,251
240,251
241,252
242,252
243,252
244,253
245,253
246,253
247,253
248,253
249,254
250,254
251,254
252,254
253,254
254,254
255,255
