Input,Output
0,104
1,102
2,100
3,99
4,97
5,95
6,93
7,92
8,90
9,88
10,86
11,85
12,83
13,81
14,80
15,78
16,77
17,76
18,75
19,74
20,74
21,74
22,74
23,75
24,76
25,77
26,78
27,80
28,82
29,84
30,86
31,88
32,90
33,91
34,93
35,95
36,96
37,98
38,99
39,100
40,101
41,102
42,103
43,104
44,104
45,105
46,105
47,105
48,106
49,106
50,106
51,106
52,106
53,106
54,106
55,106
56,106
57,106
58,106
59,106
60,106
61,106
62,106
63,106
64,106
65,106
66,106
67,107
68,107
69,107
70,107
71,107
72,107
73,107
74,107
75,107
76,107
77,107
78,107
79,107
80,107
81,107
82,107
83,107
84,108
85,108
86,108
87,108
88,108
89,108
90,108
91,109
92,109
93,109
94,109
95,109
96,109
97,110
98,110
99,110
100,110
101,110
102,111
103,111
104,111
105,111
106,112
107,112
108,112
109,112
110,112
111,113
112,113
113,113
114,113
115,113
116,113
117,114
118,114
119,114
120,114
121,114
122,115
123,115
124,115
125,115
126,115
127,115
128,116
129,116
130,116
131,116
132,116
133,116
134,117
135,117
136,117
137,117
138,118
139,118
140,118
141,118
142,119
143,119
144,119
145,119
146,120
147,120
148,120
149,121
150,121
151,121
152,122
153,122
154,122
155,123
156,123
157,123
158,124
159,124
160,125
161,126
162,126
163,127
164,128
165,129
166,130
167,131
168,132
169,134
170,135
171,137
172,139
173,141
174,143
175,145
176,147
177,149
178,152
179,154
180,157
181,159
182,162
183,164
184,167
185,169
186,172
187,174
188,176
189,178
190,180
191,182
192,184
193,185
194,187
195,188
196,189
197,191
198,192
199,193
200,194
201,195
202,196
203,197
204,198
205,199
206,199
207,200
208,201
209,202
210,203
211,204
212,205
213,206
214,207
215,208
216,209
217,210
218,212
219,213
220,214
221,216
222,217
223,219
224,220
225,222
226,223
227,225
228,226
229,228
230,229
231,231
232,232
233,234
234,235
235,237
236,238
237,239
238,240
239,241
240,243
241,244
242,244
243,245
244,246
245,247
246,248
247,248
248,249
249,249
250,250
251,250
252,251
253,251
254,252
255,252
