Input,Output
0,228
1,228
2,228
3,228
4,229
5,229
6,229
7,229
8,230
9,230
10,230
11,230
12,230
13,231
14,231
15,231
16,231
17,232
18,232
19,232
20,233
21,233
22,233
23,234
24,234
25,234
26,235
27,235
28,236
29,236
30,237
31,237
32,238
33,239
34,239
35,240
36,241
37,242
38,243
39,243
40,244
41,245
42,246
43,247
44,248
45,249
46,249
47,250
48,251
49,252
50,253
51,253
52,254
53,254
54,254
55,254
56,255
57,254
58,254
59,254
60,253
61,252
62,251
63,250
64,249
65,248
66,246
67,245
68,243
69,242
70,240
71,238
72,237
73,235
74,233
75,232
76,230
77,229
78,227
79,226
80,224
81,223
82,222
83,221
84,220
85,219
86,218
87,217
88,216
89,215
90,215
91,214
92,214
93,213
94,213
95,212
96,212
97,211
98,211
99,211
100,210
101,210
102,210
103,210
104,209
105,209
106,209
107,209
108,208
109,208
110,208
111,208
112,208
113,207
114,207
115,207
116,207
117,206
118,206
119,206
120,205
121,205
122,205
123,204
124,204
125,203
126,203
127,203
128,202
129,202
130,201
131,200
132,200
133,199
134,198
135,197
136,197
137,196
138,195
139,194
140,193
141,192
142,190
143,189
144,188
145,187
146,185
147,184
148,183
149,181
150,180
151,178
152,177
153,175
154,174
155,172
156,171
157,169
158,168
159,166
160,165
161,163
162,162
163,160
164,159
165,157
166,155
167,154
168,152
169,151
170,149
171,147
172,145
173,144
174,142
175,140
176,137
177,135
178,133
179,131
180,128
181,126
182,123
183,120
184,118
185,115
186,112
187,109
188,106
189,103
190,100
191,97
192,94
193,91
194,87
195,84
196,81
197,78
198,74
199,71
200,68
201,65
202,62
203,59
204,57
205,54
206,52
207,49
208,47
209,45
210,43
211,41
212,39
213,38
214,36
215,34
216,33
217,32
218,31
219,30
220,29
221,28
222,27
223,26
224,25
225,24
226,23
227,23
228,22
229,21
230,20
231,20
232,19
233,18
234,17
235,16
236,16
237,15
238,14
239,13
240,12
241,11
242,11
243,10
244,9
245,8
246,7
247,6
248,5
249,4
250,4
251,3
252,2
253,1
254,0
255,0
