Input,Output
0,255
1,254
2,253
3,252
4,252
5,251
6,250
7,249
8,248
9,247
10,246
11,245
12,244
13,243
14,241
15,240
16,238
17,237
18,235
19,234
20,232
21,231
22,229
23,228
24,227
25,225
26,224
27,223
28,222
29,221
30,220
31,219
32,218
33,217
34,217
35,216
36,215
37,215
38,214
39,214
40,213
41,213
42,212
43,212
44,211
45,211
46,210
47,210
48,210
49,209
50,209
51,208
52,208
53,207
54,207
55,206
56,206
57,205
58,204
59,204
60,203
61,202
62,202
63,201
64,200
65,199
66,198
67,197
68,196
69,195
70,194
71,192
72,191
73,190
74,189
75,188
76,186
77,185
78,184
79,182
80,181
81,180
82,178
83,177
84,176
85,175
86,173
87,172
88,171
89,170
90,168
91,167
92,166
93,165
94,164
95,163
96,162
97,161
98,160
99,159
100,158
101,157
102,156
103,155
104,154
105,153
106,152
107,151
108,150
109,149
110,148
111,147
112,146
113,144
114,143
115,142
116,140
117,139
118,137
119,136
120,134
121,132
122,131
123,129
124,127
125,125
126,124
127,122
128,120
129,118
130,116
131,114
132,111
133,109
134,107
135,104
136,102
137,100
138,97
139,94
140,92
141,89
142,86
143,84
144,81
145,79
146,76
147,73
148,71
149,69
150,66
151,64
152,62
153,60
154,58
155,56
156,54
157,52
158,50
159,49
160,47
161,45
162,44
163,43
164,41
165,40
166,39
167,38
168,37
169,36
170,35
171,34
172,34
173,33
174,32
175,32
176,31
177,31
178,30
179,30
180,29
181,29
182,29
183,28
184,28
185,28
186,27
187,27
188,27
189,27
190,26
191,26
192,26
193,26
194,25
195,25
196,25
197,25
198,24
199,24
200,24
201,24
202,23
203,23
204,22
205,22
206,22
207,21
208,21
209,20
210,20
211,19
212,19
213,18
214,18
215,17
216,16
217,16
218,15
219,14
220,14
221,13
222,12
223,12
224,11
225,10
226,10
227,9
228,8
229,8
230,7
231,7
232,6
233,6
234,5
235,5
236,4
237,4
238,3
239,3
240,3
241,2
242,2
243,2
244,1
245,1
246,1
247,1
248,1
249,0
250,0
251,0
252,0
253,0
254,0
255,0
