Index,Value
0,58
1,57
2,57
3,56
4,55
5,54
6,54
7,53
8,52
9,52
10,51
11,50
12,50
13,49
14,49
15,48
16,48
17,47
18,47
19,46
20,46
21,45
22,45
23,44
24,44
25,44
26,43
27,43
28,42
29,42
30,42
31,41
32,41
33,41
34,40
35,40
36,40
37,39
38,39
39,39
40,39
41,38
42,38
43,38
44,37
45,37
46,37
47,37
48,36
49,36
50,36
51,35
52,35
53,35
54,34
55,34
56,34
57,34
58,33
59,33
60,33
61,32
62,32
63,32
64,32
65,31
66,31
67,31
68,31
69,30
70,30
71,30
72,30
73,29
74,29
75,29
76,29
77,28
78,28
79,28
80,28
81,27
82,27
83,27
84,27
85,26
86,26
87,26
88,26
89,25
90,25
91,25
92,25
93,24
94,24
95,24
96,24
97,23
98,23
99,23
100,23
101,22
102,22
103,22
104,22
105,21
106,21
107,21
108,21
109,21
110,20
111,20
112,20
113,20
114,19
115,19
116,19
117,19
118,18
119,18
120,18
121,18
122,18
123,17
124,17
125,17
126,17
127,17
128,16
129,16
130,16
131,16
132,16
133,16
134,15
135,15
136,15
137,15
138,15
139,14
140,14
141,14
142,14
143,14
144,13
145,13
146,13
147,13
148,13
149,13
150,12
151,12
152,12
153,12
154,12
155,12
156,11
157,11
158,11
159,11
160,11
161,11
162,11
163,10
164,10
165,10
166,10
167,10
168,10
169,9
170,9
171,9
172,9
173,9
174,9
175,9
176,8
177,8
178,8
179,8
180,8
181,8
182,8
183,7
184,7
185,7
186,7
187,7
188,7
189,7
190,7
191,6
192,6
193,6
194,6
195,6
196,6
197,6
198,6
199,5
200,5
201,5
202,5
203,5
204,5
205,5
206,5
207,5
208,4
209,4
210,4
211,4
212,4
213,4
214,4
215,4
216,4
217,3
218,3
219,3
220,3
221,3
222,3
223,3
224,3
225,3
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
