Input,Output,interp_linear,interp_cubic
0,8,8,8
1,13,13,13
2,17,17,17
3,21,21,21
4,26,26,26
5,30,30,30
6,35,35,35
7,39,39,39
8,43,43,43
9,47,47,47
10,51,51,51
11,55,55,55
12,58,58,58
13,62,62,62
14,65,65,65
15,68,68,68
16,71,71,71
17,74,74,74
18,76,76,76
19,79,79,79
20,81,81,81
21,83,83,83
22,84,84,84
23,86,86,86
24,87,87,87
25,89,89,89
26,90,90,90
27,91,91,91
28,92,92,92
29,93,93,93
30,94,94,94
31,95,95,95
32,96,96,96
33,96,96,96
34,97,97,97
35,97,97,97
36,98,98,98
37,99,99,99
38,99,99,99
39,99,99,99
40,100,100,100
41,100,100,100
42,101,101,101
43,101,101,101
44,101,101,101
45,102,102,102
46,102,102,102
47,102,102,102
48,103,103,103
49,103,103,103
50,103,103,103
51,104,104,104
52,104,104,104
53,104,104,104
54,104,104,104
55,105,105,105
56,105,105,105
57,105,105,105
58,105,105,105
59,106,106,106
60,106,106,106
61,106,106,106
62,106,106,106
63,107,107,107
64,107,107,107
65,107,107,107
66,107,107,107
67,108,108,108
68,108,108,108
69,108,108,108
70,108,108,108
71,108,108,108
72,109,109,109
73,109,109,109
74,109,109,109
75,109,109,109
76,109,109,109
77,110,110,110
78,110,110,110
79,110,110,110
80,110,110,110
81,110,110,110
82,110,110,110
83,111,111,111
84,111,111,111
85,111,111,111
86,111,111,111
87,111,111,111
88,111,111,111
89,111,111,111
90,112,112,112
91,112,112,112
92,112,112,112
93,112,112,112
94,112,112,112
95,113,113,113
96,113,113,113
97,113,113,113
98,113,113,113
99,113,113,113
100,113,113,113
101,113,113,113
102,114,114,114
103,114,114,114
104,114,114,114
105,114,114,114
106,114,114,114
107,114,114,114
108,115,115,115
109,115,115,115
110,115,115,115
111,115,115,115
112,115,115,115
113,115,115,115
114,116,116,116
115,116,116,116
116,116,116,116
117,116,116,116
118,117,117,117
119,117,117,117
120,117,117,117
121,117,117,117
122,118,118,118
123,118,118,118
124,118,118,118
125,118,118,118
126,119,119,119
127,119,119,119
128,119,119,119
129,119,119,119
130,119,119,119
131,120,120,120
132,120,120,120
133,120,120,120
134,120,120,120
135,120,120,120
136,121,121,121
137,121,121,121
138,121,121,121
139,121,121,121
140,121,121,121
141,121,121,121
142,122,122,122
143,122,122,122
144,122,122,122
145,122,122,122
146,123,123,123
147,123,123,123
148,123,123,123
149,123,123,123
150,123,123,123
151,124,124,124
152,124,124,124
153,124,124,124
154,125,125,125
155,125,125,125
156,125,125,125
157,125,125,125
158,126,126,126
159,126,126,126
160,126,126,126
161,126,126,126
162,127,127,127
163,127,127,127
164,127,127,127
165,127,127,127
166,128,128,128
167,128,128,128
168,128,128,128
169,128,128,128
170,128,128,128
171,128,128,128
172,128,128,128
173,129,129,129
174,129,129,129
175,129,129,129
176,129,129,129
177,129,129,129
178,129,129,129
179,129,129,129
180,129,129,129
181,129,129,129
182,129,129,129
183,129,129,129
184,129,129,129
185,129,129,129
186,129,129,129
187,129,129,129
188,129,129,129
189,129,129,129
190,130,130,130
191,130,130,130
192,130,130,130
193,130,130,130
194,130,130,130
195,130,130,130
196,131,131,131
197,131,131,131
198,131,131,131
199,132,132,132
200,132,132,132
201,133,133,133
202,134,134,134
203,135,135,135
204,136,136,136
205,137,137,137
206,139,139,139
207,140,140,140
208,142,142,142
209,144,144,144
210,146,146,146
211,148,148,148
212,151,151,151
213,153,153,153
214,156,156,156
215,159,159,159
216,162,162,162
217,166,166,166
218,169,169,169
219,172,172,172
220,175,175,175
221,178,178,178
222,181,181,181
223,184,183,184
224,187,185,187
225,190,188,190
226,193,190,193
227,196,192,196
228,199,194,199
229,202,197,202
230,204,199,204
231,207,201,207
232,210,203,210
233,213,206,213
234,215,208,215
235,218,210,218
236,220,212,220
237,223,215,223
238,225,217,225
239,228,219,228
240,230,221,230
241,232,224,232
242,235,226,235
243,237,228,237
244,239,230,239
245,241,233,241
246,242,235,242
247,244,237,244
248,246,239,246
249,248,242,248
250,249,244,249
251,250,246,250
252,252,248,252
253,253,251,253
254,254,253,254
255,255,255,255
