Input,Output
0,0
1,2
2,4
3,7
4,9
5,11
6,14
7,16
8,18
9,21
10,23
11,25
12,28
13,30
14,32
15,34
16,37
17,39
18,41
19,43
20,45
21,47
22,50
23,52
24,54
25,56
26,58
27,60
28,62
29,64
30,66
31,68
32,70
33,71
34,73
35,75
36,76
37,77
38,79
39,80
40,81
41,82
42,83
43,84
44,85
45,86
46,88
47,89
48,90
49,91
50,92
51,94
52,95
53,96
54,97
55,98
56,100
57,101
58,102
59,103
60,104
61,105
62,106
63,107
64,108
65,109
66,110
67,111
68,112
69,113
70,114
71,114
72,115
73,116
74,117
75,118
76,119
77,120
78,121
79,121
80,122
81,123
82,124
83,125
84,126
85,127
86,128
87,129
88,130
89,130
90,131
91,132
92,133
93,134
94,135
95,135
96,136
97,137
98,138
99,139
100,139
101,140
102,141
103,142
104,142
105,143
106,144
107,145
108,146
109,146
110,147
111,148
112,149
113,150
114,151
115,151
116,152
117,153
118,153
119,154
120,155
121,155
122,156
123,156
124,157
125,157
126,158
127,158
128,159
129,159
130,159
131,159
132,160
133,160
134,160
135,160
136,161
137,161
138,161
139,161
140,161
141,161
142,162
143,162
144,162
145,162
146,162
147,162
148,163
149,163
150,163
151,163
152,163
153,164
154,164
155,164
156,164
157,164
158,164
159,165
160,165
161,165
162,165
163,165
164,165
165,166
166,166
167,166
168,166
169,166
170,166
171,166
172,166
173,167
174,167
175,167
176,167
177,167
178,167
179,167
180,167
181,168
182,168
183,168
184,168
185,168
186,168
187,169
188,169
189,169
190,170
191,170
192,170
193,171
194,171
195,172
196,172
197,173
198,173
199,174
200,175
201,176
202,176
203,177
204,178
205,179
206,180
207,181
208,182
209,183
210,184
211,185
212,186
213,187
214,188
215,189
216,191
217,192
218,193
219,194
220,195
221,196
222,197
223,198
224,199
225,200
226,201
227,201
228,202
229,203
230,204
231,205
232,206
233,207
234,209
235,210
236,211
237,213
238,214
239,216
240,217
241,219
242,221
243,223
244,225
245,228
246,230
247,232
248,235
249,238
250,240
251,243
252,246
253,249
254,252
255,255
