Input,Output
0,8
1,13
2,17
3,21
4,26
5,30
6,35
7,39
8,43
9,47
10,51
11,55
12,58
13,62
14,65
15,68
16,71
17,74
18,76
19,79
20,81
21,83
22,84
23,86
24,87
25,89
26,90
27,91
28,92
29,93
30,94
31,95
32,96
33,96
34,97
35,97
36,98
37,99
38,99
39,99
40,100
41,100
42,101
43,101
44,101
45,102
46,102
47,102
48,103
49,103
50,103
51,104
52,104
53,104
54,104
55,105
56,105
57,105
58,105
59,106
60,106
61,106
62,106
63,107
64,107
65,107
66,107
67,108
68,108
69,108
70,108
71,108
72,109
73,109
74,109
75,109
76,109
77,110
78,110
79,110
80,110
81,110
82,110
83,111
84,111
85,111
86,111
87,111
88,111
89,111
90,112
91,112
92,112
93,112
94,112
95,113
96,113
97,113
98,113
99,113
100,113
101,113
102,114
103,114
104,114
105,114
106,114
107,114
108,115
109,115
110,115
111,115
112,115
113,115
114,116
115,116
116,116
117,116
118,117
119,117
120,117
121,117
122,118
123,118
124,118
125,118
126,119
127,119
128,119
129,119
130,119
131,120
132,120
133,120
134,120
135,120
136,121
137,121
138,121
139,121
140,121
141,121
142,122
143,122
144,122
145,122
146,123
147,123
148,123
149,123
150,123
151,124
152,124
153,124
154,125
155,125
156,125
157,125
158,126
159,126
160,126
161,126
162,127
163,127
164,127
165,127
166,128
167,128
168,128
169,128
170,128
171,128
172,128
173,129
174,129
175,129
176,129
177,129
178,129
179,129
180,129
181,129
182,129
183,129
184,129
185,129
186,129
187,129
188,129
189,129
190,130
191,130
192,130
193,130
194,130
195,130
196,131
197,131
198,131
199,132
200,132
201,133
202,134
203,135
204,136
205,137
206,139
207,140
208,142
209,144
210,146
211,148
212,151
213,153
214,156
215,159
216,162
217,166
218,169
219,172
220,175
221,178
222,181
223,
224,
225,
226,
227,
228,
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
253,
254,
255,255
