Input,Output
0,25.149297396356648
1,15.279538739589489
2,8.444346955866322
3,4.20738993257906
4,2.1323355571196183
5,1.782851716879912
6,2.7226062992518543
7,4.515267191627361
8,6.724502281398344
9,8.987553244434553
10,11.235956910517057
11,13.474823897904757
12,15.709264824856568
13,17.94439030963138
14,20.185310970488104
15,22.43713742568564
16,24.704980293482897
17,27.280827488905143
18,31.604176114043117
19,38.527222238136154
20,45.4054486119524
21,49.501263632872664
22,51.20149160319952
23,51.67406080146597
24,52.086899506205015
25,53.36371148465378
26,55.45130245886583
27,58.05225363959892
28,60.869146237610735
29,63.60456146365901
30,65.96108052850144
31,67.64128464289576
32,68.34775501759965
33,70.19903627733842
34,78.87664497945234
35,82.6962759970168
36,82.35970965900731
37,82.24181381458119
38,82.9228392144678
39,84.03438233478947
40,85.20803965166861
41,86.14694086353632
42,86.84034855805892
43,87.34905854521159
44,87.7338666349694
45,88.05556863730752
46,88.37496036220102
47,88.75283761962508
48,89.24999621955479
49,89.9459651728295
50,90.99520629374558
51,92.57091459746358
52,94.84628509914407
53,97.75961923382631
54,100.30964411606449
55,101.67174962907359
56,102.66755105119722
57,104.26003882098941
58,106.3314786227178
59,108.49395495207823
60,110.35955230476671
61,111.63184145776373
62,112.38033831318793
63,112.76604505444271
64,112.94996386493135
65,113.06782541971775
66,113.15427436050847
67,113.21868382067075
68,113.2704269335717
69,113.31887683257855
70,113.37340665105847
71,113.44338952237868
72,113.53819857990634
73,113.66720695700864
74,113.83978778705281
75,114.06531420340595
76,114.35315933943536
77,114.71269632850813
78,115.15329830399155
79,115.68433839925271
80,116.31518974765883
81,117.05086839285305
82,117.87896201958196
83,118.78270122286813
84,119.7453165977341
85,120.75003873920242
86,121.78009824229564
87,122.8187257020363
88,123.84915171344696
89,124.85692882694666
90,125.83689741454047
91,126.78621980362985
92,127.70205832161638
93,128.58157529590164
94,129.42193305388707
95,130.22029392297435
96,130.9738202305649
97,131.680414770471
98,132.3409422021477
99,132.95700765146066
100,133.53021624427575
101,134.06217310645857
102,134.554483363875
103,135.00875214239062
104,135.42658456787126
105,135.80958576618264
106,136.1593608631905
107,136.4775149847606
108,136.76565325675858
109,137.02538080505036
110,137.25830275550146
111,137.4660242339778
112,137.650150366345
113,137.8122862784688
114,137.95403709621505
115,138.0770079454493
116,138.1828039520375
117,138.27303024184525
118,138.34929194073834
119,138.4131941745825
120,138.46634206924335
121,138.51034075058678
122,138.5467953444785
123,138.57731097678425
124,138.60349277336968
125,138.62694586010062
126,138.64927536284276
127,138.67208640746185
128,138.69698411982367
129,138.7253779011635
130,138.7578942541953
131,138.79496395700264
132,138.83701778766903
133,138.88448652427795
134,138.93780094491308
135,138.99739182765782
136,139.0636899505958
137,139.13712609181056
138,139.21813102938557
139,139.30713554140445
140,139.40457040595066
141,139.51086640110785
142,139.62645430495945
143,139.7517648955891
144,139.88722895108026
145,140.03327724951652
146,140.19034056898138
147,140.35884968755843
148,140.53923538333117
149,140.73192843438318
150,140.93735961879796
151,141.15595971465905
152,141.38815950005005
153,141.63438975305445
154,141.8950812517558
155,142.17066477423765
156,142.46157109858353
157,142.76823100287697
158,143.09107526520157
159,143.4305346636408
160,143.78703997627827
161,144.1607609385179
162,144.5508231150455
163,144.9560910278673
164,145.37542919898956
165,145.80770215041852
166,146.2517744041604
167,146.70651048222135
168,147.17077490660773
169,147.6434321993257
170,148.12334688238153
171,148.60938347778145
172,149.10040650753163
173,149.59528049363837
174,150.09286995810794
175,150.59203942294653
176,151.09165341016032
177,151.59057644175556
178,152.08767303973855
179,152.5818077261155
180,153.0718450228926
181,153.55664945207616
182,154.03508553567235
183,154.5060177956874
184,154.96831075412757
185,155.4208289329991
186,155.8624368543082
187,156.29199904006114
188,156.70838001226412
189,157.11044429292338
190,157.49705640404517
191,157.8670808676357
192,158.2193822057012
193,158.5532563627224
194,158.86972497307778
195,159.17024109362043
196,159.45625778120325
197,159.72922809267934
198,159.9906050849016
199,160.24184181472302
200,160.4843913389967
201,160.71920953412447
202,160.94526355470353
203,161.16102337488007
204,161.3649589688003
205,161.55554031061033
206,161.73123737445627
207,161.89052013448426
208,162.03185856484052
209,162.1549605050102
210,162.26448525583461
211,162.36632998349418
212,162.4663918541694
213,162.57056803404046
214,162.68475568928793
215,162.8148519860921
216,162.96675409063334
217,163.1463591690922
218,163.3595643876489
219,163.61226691248393
220,163.91036390977763
221,164.25975254571046
222,164.66632998646273
223,165.13599339821494
224,165.67463994714734
225,166.24741987419608
226,166.65649571931962
227,166.66328309723227
228,166.02919762264804
229,164.74079655038102
230,163.68520369564416
231,163.97468451375033
232,166.72150446001234
233,173.0795857733593
234,184.369477827186
235,201.95338677850356
236,227.1935187843231
237,254.93760900776394
238,247.64423309936143
239,197.03446189117156
240,235.4420903785443
241,236.25754089678102
242,230.30736646558128
243,225.689143191089
244,225.53106524502198
245,219.39734039008505
246,180.4114853592276
247,212.78104489032404
248,214.68938956741417
249,205.7820631627634
250,200.33517550267086
251,197.81043537676294
252,197.66955157466612
253,199.37423288600684
254,202.38618810041157
255,206.16712600750677
