Input,Output
0,2.820580621005213
1,5.174753283619566
2,7.523284784991908
3,9.869425114854955
4,12.22543380486999
5,14.608699035063824
6,17.037837003545448
7,19.5287042535891
8,22.090296949336718
9,24.720526692937245
10,27.406049122144193
11,30.12458010229053
12,32.85113987985082
13,35.566040468164495
14,38.25111399214678
15,40.88590437220467
16,43.4492711305641
17,45.917969487557635
18,48.273231247527846
19,50.507049327909314
20,52.61950557598569
21,54.61577016932553
22,56.50473375916656
23,58.297871997109475
24,60.00832466381864
25,61.65084981971332
26,63.23935795426417
27,64.78561005256165
28,66.30490533973149
29,67.80906759551034
30,69.31084412415264
31,70.82373488036848
32,72.35954369368484
33,73.92590726435174
34,75.5241066170403
35,77.15167539613424
36,78.80494448945691
37,80.48152791314592
38,82.16940127128171
39,83.85566466177428
40,85.52386501497926
41,87.15132165224882
42,88.71007355462048
43,90.17809022365954
44,91.53840951671053
45,92.77942158309017
46,93.89614301804367
47,94.89213505442846
48,95.77241800913806
49,96.54367856646269
50,97.21470847961308
51,97.79706131703912
52,98.30586904557822
53,98.7590321576961
54,99.17655688894556
55,99.58000372465798
56,99.99200718339662
57,100.43582375620097
58,100.93480676030238
59,101.51172837117355
60,102.18799132171573
61,102.98268472423223
62,103.91144120972272
63,104.98505720627342
64,106.20784509128157
65,107.57569562465747
66,109.07384203824986
67,110.67433399997455
68,112.34061776105207
69,114.03324692999402
70,115.71546166299026
71,117.35871516348072
72,118.92918819132493
73,120.4010523766838
74,121.75454306613285
75,122.97473401566428
76,124.05540205803426
77,124.99706793552718
78,125.80531617853431
79,126.48939298846219
80,127.06102162676174
81,127.53334223381052
82,127.92007654413807
83,128.2348912177137
84,128.49093234382798
85,128.70050378424725
86,128.87486306346372
87,129.02413844781518
88,129.15732392867648
89,129.28232437344073
90,129.4060328563074
91,129.53442435914263
92,129.6726520562634
93,129.82508456289705
94,129.99532206233678
95,130.1861840234779
96,130.39966130836834
97,130.63682703083606
98,130.8977021844687
99,131.18109021796835
100,131.48446791765411
101,131.8038312642049
102,132.1335013100697
103,132.46589808558454
104,132.79395048854116
105,133.1110746012586
106,133.4121438685496
107,133.69390522797278
108,133.95460858729592
109,134.19367491777518
110,134.41140646343422
111,134.60874022440117
112,134.7870441098151
113,134.94795388630217
114,135.09324818620257
115,135.22475830401544
116,135.34428001097723
117,135.45350459985434
118,135.5539739065573
119,135.64705592599125
120,135.73393793847063
121,135.81563441070847
122,135.89300729681972
123,135.9667967104048
124,136.03766024380568
125,136.10621945430682
126,136.17310424799268
127,136.23899297898257
128,136.30465589749934
129,136.3710005900633
130,136.43911787131094
131,136.510326312266
132,136.58621322343257
133,136.66866945556944
134,136.75991484352346
135,136.86251051142114
136,136.9793535995489
137,137.11366616605926
138,137.26902916913303
139,137.44938151018465
140,137.6589769761944
141,137.90229120336477
142,138.18387015452674
143,138.50811115902394
144,138.87896742314854
145,139.29999725441363
146,139.77449177486105
147,140.3054892010858
148,140.89566369241575
149,141.54712200218142
150,142.26182686180036
151,143.041595605461
152,143.88781459125266
153,144.80056206325585
154,145.77759811314797
155,146.8132721934585
156,147.89749834382786
157,149.01468842655825
158,150.1453812011566
159,151.27345393954053
160,152.37541175206434
161,153.4287927801455
162,154.4185170766432
163,155.3354112392554
164,156.1748603573787
165,156.9356081030603
166,157.61876748226865
167,158.22698898890943
168,158.76384727147615
169,159.23375844683736
170,159.6418947384766
171,159.99399432592347
172,160.2962947439522
173,160.55524795171831
174,160.77720052666572
175,160.96816055285433
176,161.13363851055328
177,161.2785501509317
178,161.40717033488642
179,161.52312800450431
180,161.62941155103888
181,161.72838945280392
182,161.82185026131367
183,161.91105719871234
184,161.99681378939016
185,162.0795379993415
186,162.15934327621676
187,162.2361256541355
188,162.309614610059
189,162.3794173242881
190,162.4450695278053
191,162.5060937220999
192,162.56206570001515
193,162.61269032261342
194,162.657887400474
195,162.69788826970188
196,162.7333432230257
197,162.76543933331325
198,162.79604170062746
199,162.82784883040426
200,162.8645509991161
201,162.91098621041067
202,162.97328636117186
203,163.05900394149512
204,163.17720700478452
205,163.3385273029901
206,163.55514345087968
207,163.84068351455238
208,164.21002163099763
209,164.67893677982306
210,165.26360395887673
211,165.97988620580452
212,166.842395115547
213,167.8632881277007
214,169.0507733605537
215,170.40729767691641
216,171.92746260328508
217,173.59561301632698
218,175.3830985481453
219,177.24523902057112
220,179.1180512092174
221,180.914826297652
222,182.53063750911872
223,183.87506169595596
224,184.90526285676964
225,185.6596184276554
226,186.29197401947278
227,186.92102501046912
228,187.63484620162106
229,188.49542808117775
230,189.54304354880384
231,190.8003211183455
232,192.27594405342057
233,193.96793017880458
234,195.86647500108586
235,197.95636210294
236,200.21896042001072
237,202.63383883323115
238,205.18003533871504
239,207.8370216574555
240,210.58540520883923
241,213.40740950453443
242,216.28717174791308
243,219.21089319198484
244,222.16687398143554
245,225.14546007626444
246,228.13892565673024
247,231.14131031768687
248,234.14822650394785
249,237.15664910748941
250,240.1646960016032
251,243.1714055622147
252,246.17651494061977
253,249.1802410108891
254,252.18306451763627
255,255.0
