Input,Output
0,0
1,4
2,8
3,13
4,17
5,22
6,26
7,31
8,35
9,40
10,44
11,49
12,53
13,58
14,62
15,66
16,70
17,74
18,78
19,82
20,85
21,89
22,92
23,95
24,98
25,101
26,103
27,106
28,108
29,110
30,112
31,114
32,116
33,117
34,119
35,120
36,121
37,123
38,124
39,125
40,126
41,127
42,128
43,129
44,130
45,130
46,131
47,132
48,133
49,134
50,135
51,135
52,136
53,137
54,138
55,138
56,139
57,140
58,140
59,141
60,142
61,142
62,143
63,144
64,144
65,145
66,145
67,146
68,146
69,147
70,147
71,148
72,148
73,149
74,149
75,149
76,150
77,150
78,151
79,151
80,152
81,152
82,153
83,153
84,154
85,154
86,155
87,155
88,156
89,156
90,157
91,158
92,158
93,159
94,160
95,160
96,161
97,161
98,162
99,162
100,163
101,163
102,163
103,164
104,164
105,164
106,164
107,164
108,164
109,164
110,164
111,164
112,164
113,164
114,164
115,164
116,164
117,164
118,164
119,163
120,163
121,163
122,163
123,163
124,163
125,163
126,162
127,162
128,162
129,162
130,162
131,162
132,162
133,162
134,163
135,163
136,163
137,163
138,164
139,164
140,164
141,165
142,165
143,166
144,166
145,167
146,167
147,168
148,169
149,169
150,170
151,170
152,171
153,171
154,172
155,172
156,173
157,173
158,174
159,174
160,174
161,175
162,175
163,175
164,176
165,176
166,176
167,176
168,177
169,177
170,177
171,177
172,177
173,177
174,178
175,178
176,178
177,178
178,178
179,178
180,178
181,179
182,179
183,179
184,179
185,179
186,179
187,180
188,180
189,180
190,180
191,181
192,181
193,182
194,182
195,182
196,183
197,183
198,184
199,184
200,185
201,186
202,186
203,187
204,188
205,188
206,189
207,190
208,191
209,192
210,193
211,195
212,196
213,198
214,199
215,201
216,203
217,205
218,208
219,210
220,213
221,216
222,218
223,221
224,224
225,227
226,230
227,233
228,236
229,239
230,242
231,245
232,247
233,249
234,251
235,252
236,253
237,254
238,254
239,255
240,254
241,254
242,254
243,254
244,254
245,254
246,254
247,254
248,254
249,254
250,254
251,254
252,254
253,254
254,254
255,254
