Input,Output
0,255
1,255
2,250
3,245
4,245
5,235
6,228
7,223
8,219
9,214
10,210
11,205
12,201
13,196
14,192
15,188
16,184
17,180
18,176
19,172
20,169
21,165
22,162
23,159
24,156
25,153
26,151
27,148
28,146
29,144
30,142
31,140
32,138
33,137
34,135
35,134
36,133
37,131
38,130
39,129
40,128
41,127
42,126
43,125
44,124
45,124
46,123
47,122
48,121
49,120
50,119
51,119
52,118
53,117
54,116
55,116
56,115
57,114
58,114
59,113
60,112
61,112
62,111
63,110
64,110
65,109
66,109
67,108
68,108
69,107
70,107
71,106
72,106
73,105
74,105
75,105
76,104
77,104
78,103
79,103
80,102
81,102
82,101
83,101
84,100
85,100
86,99
87,99
88,98
89,98
90,97
91,96
92,96
93,95
94,94
95,94
96,93
97,93
98,92
99,92
100,91
101,91
102,91
103,90
104,90
105,90
106,90
107,90
108,90
109,90
110,90
111,90
112,90
113,90
114,90
115,90
116,90
117,90
118,90
119,91
120,91
121,91
122,91
123,91
124,91
125,91
126,92
127,92
128,92
129,92
130,92
131,92
132,92
133,92
134,91
135,91
136,91
137,91
138,90
139,90
140,90
141,89
142,89
143,88
144,88
145,87
146,87
147,86
148,85
149,85
150,84
151,84
152,83
153,83
154,82
155,82
156,81
157,81
158,80
159,80
160,80
161,79
162,79
163,79
164,78
165,78
166,78
167,78
168,77
169,77
170,77
171,77
172,77
173,77
174,76
175,76
176,76
177,76
178,76
179,76
180,76
181,75
182,75
183,75
184,75
185,75
186,75
187,74
188,74
189,74
190,74
191,73
192,73
193,72
194,72
195,72
196,71
197,71
198,70
199,70
200,69
201,68
202,68
203,67
204,66
205,66
206,65
207,64
208,63
209,62
210,61
211,59
212,58
213,56
214,55
215,53
216,51
217,49
218,46
219,44
220,41
221,38
222,36
223,33
224,30
225,27
226,24
227,21
228,18
229,15
230,12
231,9
232,7
233,5
234,3
235,2
236,1
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
