Input,Output
0,3
1,3
2,3
3,2
4,2
5,1
6,1
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,2
19,4
20,6
21,8
22,10
23,13
24,17
25,20
26,24
27,28
28,33
29,37
30,42
31,46
32,51
33,55
34,60
35,64
36,68
37,72
38,76
39,79
40,83
41,86
42,88
43,91
44,93
45,96
46,98
47,99
48,101
49,103
50,104
51,105
52,107
53,108
54,109
55,110
56,111
57,112
58,113
59,114
60,115
61,116
62,117
63,118
64,119
65,120
66,121
67,122
68,124
69,125
70,126
71,127
72,129
73,130
74,131
75,133
76,134
77,135
78,136
79,138
80,139
81,140
82,141
83,142
84,143
85,144
86,145
87,145
88,146
89,147
90,148
91,148
92,149
93,149
94,150
95,150
96,151
97,151
98,152
99,152
100,152
101,152
102,153
103,153
104,153
105,153
106,153
107,154
108,154
109,154
110,154
111,154
112,154
113,154
114,154
115,154
116,154
117,155
118,155
119,155
120,155
121,155
122,155
123,155
124,155
125,155
126,155
127,155
128,155
129,155
130,155
131,156
132,156
133,156
134,156
135,156
136,156
137,156
138,156
139,157
140,157
141,157
142,157
143,157
144,157
145,158
146,158
147,158
148,158
149,159
150,159
151,159
152,160
153,160
154,160
155,161
156,161
157,162
158,162
159,163
160,164
161,164
162,165
163,165
164,166
165,167
166,167
167,168
168,169
169,169
170,170
171,171
172,171
173,172
174,173
175,173
176,174
177,175
178,175
179,176
180,177
181,177
182,178
183,178
184,179
185,180
186,180
187,181
188,181
189,182
190,182
191,182
192,183
193,183
194,184
195,184
196,184
197,184
198,185
199,185
200,185
201,185
202,185
203,186
204,186
205,186
206,186
207,186
208,186
209,186
210,186
211,186
212,186
213,187
214,187
215,187
216,187
217,187
218,187
219,188
220,188
221,188
222,189
223,189
224,190
225,190
226,191
227,192
228,193
229,194
230,195
231,196
232,197
233,199
234,201
235,202
236,204
237,206
238,209
239,211
240,214
241,216
242,219
243,222
244,225
245,227
246,230
247,233
248,236
249,239
250,241
251,244
252,247
253,249
254,252
255,255
