Input,Output
0,255
1,253
2,251
3,250
4,248
5,246
6,245
7,243
8,241
9,240
10,238
11,236
12,234
13,232
14,231
15,229
16,227
17,226
18,224
19,222
20,221
21,219
22,218
23,217
24,215
25,214
26,213
27,212
28,211
29,210
30,209
31,208
32,207
33,206
34,205
35,204
36,204
37,203
38,203
39,202
40,202
41,201
42,201
43,200
44,200
45,200
46,199
47,199
48,199
49,198
50,198
51,197
52,197
53,196
54,195
55,195
56,194
57,193
58,192
59,191
60,190
61,190
62,189
63,187
64,186
65,185
66,184
67,183
68,182
69,181
70,180
71,179
72,178
73,177
74,176
75,175
76,174
77,173
78,173
79,172
80,171
81,170
82,170
83,169
84,169
85,168
86,167
87,167
88,166
89,166
90,165
91,165
92,164
93,164
94,163
95,163
96,162
97,161
98,161
99,160
100,160
101,159
102,159
103,158
104,157
105,157
106,156
107,155
108,154
109,154
110,153
111,152
112,151
113,151
114,150
115,149
116,148
117,148
118,147
119,146
120,146
121,145
122,144
123,144
124,143
125,142
126,142
127,141
128,140
129,140
130,139
131,139
132,138
133,138
134,137
135,137
136,136
137,136
138,135
139,135
140,134
141,134
142,133
143,133
144,133
145,132
146,132
147,131
148,131
149,130
150,130
151,129
152,129
153,129
154,128
155,128
156,127
157,127
158,126
159,126
160,126
161,125
162,125
163,125
164,124
165,124
166,124
167,123
168,123
169,123
170,122
171,122
172,122
173,121
174,121
175,121
176,121
177,120
178,120
179,120
180,120
181,119
182,119
183,119
184,119
185,118
186,118
187,118
188,118
189,117
190,117
191,117
192,116
193,116
194,115
195,115
196,114
197,114
198,113
199,113
200,112
201,111
202,110
203,109
204,108
205,107
206,106
207,105
208,104
209,103
210,101
211,100
212,99
213,97
214,96
215,94
216,92
217,91
218,89
219,87
220,85
221,83
222,81
223,79
224,77
225,75
226,72
227,70
228,67
229,65
230,62
231,59
232,56
233,53
234,50
235,47
236,44
237,41
238,38
239,35
240,32
241,30
242,27
243,25
244,23
245,21
246,18
247,16
248,14
249,12
250,10
251,8
252,6
253,4
254,2
255,0
