Input,Output
0,251
1,251
2,251
3,252
4,252
5,253
6,253
7,253
8,254
9,254
10,254
11,254
12,254
13,255
14,254
15,254
16,254
17,253
18,252
19,250
20,248
21,246
22,244
23,241
24,237
25,234
26,230
27,226
28,221
29,217
30,212
31,208
32,203
33,199
34,194
35,190
36,186
37,182
38,178
39,175
40,171
41,168
42,166
43,163
44,161
45,158
46,156
47,155
48,153
49,151
50,150
51,149
52,147
53,146
54,145
55,144
56,143
57,142
58,141
59,140
60,139
61,138
62,137
63,136
64,135
65,134
66,133
67,132
68,130
69,129
70,128
71,127
72,125
73,124
74,123
75,121
76,120
77,119
78,118
79,116
80,115
81,114
82,113
83,112
84,111
85,110
86,109
87,109
88,108
89,107
90,106
91,106
92,105
93,105
94,104
95,104
96,103
97,103
98,102
99,102
100,102
101,102
102,101
103,101
104,101
105,101
106,101
107,100
108,100
109,100
110,100
111,100
112,100
113,100
114,100
115,100
116,100
117,99
118,99
119,99
120,99
121,99
122,99
123,99
124,99
125,99
126,99
127,99
128,99
129,99
130,99
131,98
132,98
133,98
134,98
135,98
136,98
137,98
138,98
139,97
140,97
141,97
142,97
143,97
144,97
145,96
146,96
147,96
148,96
149,95
150,95
151,95
152,94
153,94
154,94
155,93
156,93
157,92
158,92
159,91
160,90
161,90
162,89
163,89
164,88
165,87
166,87
167,86
168,85
169,85
170,84
171,83
172,83
173,82
174,81
175,81
176,80
177,79
178,79
179,78
180,77
181,77
182,76
183,76
184,75
185,74
186,74
187,73
188,73
189,72
190,72
191,72
192,71
193,71
194,70
195,70
196,70
197,70
198,69
199,69
200,69
201,69
202,69
203,68
204,68
205,68
206,68
207,68
208,68
209,68
210,68
211,68
212,68
213,67
214,67
215,67
216,67
217,67
218,67
219,66
220,66
221,66
222,65
223,65
224,64
225,64
226,63
227,62
228,61
229,60
230,59
231,58
232,57
233,55
234,53
235,52
236,50
237,48
238,45
239,43
240,40
241,38
242,35
243,32
244,29
245,27
246,24
247,21
248,18
249,15
250,13
251,10
252,7
253,5
254,2
255,0
