Input,Output
0,229
1,224
2,220
3,215
4,211
5,207
6,203
7,199
8,195
9,192
10,188
11,185
12,182
13,180
14,177
15,175
16,174
17,172
18,171
19,170
20,169
21,168
22,167
23,166
24,165
25,164
26,164
27,163
28,161
29,160
30,159
31,157
32,156
33,154
34,152
35,150
36,148
37,146
38,144
39,143
40,141
41,139
42,137
43,136
44,134
45,132
46,131
47,130
48,128
49,127
50,126
51,125
52,124
53,123
54,122
55,121
56,120
57,119
58,119
59,118
60,117
61,117
62,116
63,116
64,115
65,115
66,114
67,114
68,113
69,113
70,112
71,112
72,111
73,111
74,110
75,110
76,109
77,109
78,109
79,108
80,108
81,107
82,107
83,106
84,106
85,105
86,105
87,104
88,104
89,103
90,103
91,102
92,102
93,102
94,101
95,101
96,100
97,100
98,99
99,99
100,98
101,98
102,98
103,97
104,97
105,96
106,96
107,96
108,95
109,95
110,94
111,94
112,94
113,93
114,93
115,92
116,92
117,92
118,91
119,91
120,90
121,90
122,90
123,89
124,89
125,88
126,88
127,88
128,87
129,87
130,87
131,86
132,86
133,85
134,85
135,85
136,84
137,84
138,83
139,83
140,83
141,82
142,82
143,81
144,81
145,81
146,80
147,80
148,79
149,79
150,79
151,78
152,78
153,78
154,77
155,77
156,76
157,76
158,76
159,75
160,75
161,74
162,74
163,74
164,73
165,73
166,72
167,72
168,72
169,71
170,71
171,70
172,70
173,70
174,69
175,69
176,68
177,68
178,68
179,67
180,67
181,67
182,66
183,66
184,65
185,65
186,65
187,64
188,64
189,63
190,63
191,63
192,62
193,62
194,61
195,61
196,61
197,60
198,60
199,59
200,59
201,59
202,58
203,58
204,57
205,57
206,57
207,56
208,56
209,56
210,55
211,55
212,54
213,54
214,54
215,53
216,53
217,53
218,52
219,52
220,52
221,51
222,51
223,50
224,50
225,50
226,49
227,49
228,49
229,48
230,48
231,48
232,47
233,47
234,46
235,46
236,45
237,45
238,44
239,44
240,43
241,42
242,42
243,41
244,40
245,39
246,38
247,36
248,35
249,34
250,32
251,31
252,29
253,28
254,26
255,0
